GID,SIFRA_KO,BROJ,POVRSINA
"214","316580","43",3017.000000000000000
"215","316580","47",3521.000000000000000
"216","316580",190/1,1107.000000000000000
"217","316580",190/2,684.000000000000000
"218","316580",1173/2,113.000000000000000
"219","316580",1173/4,38.000000000000000
"220","316580",1173/5,52.000000000000000
"221","316580",50/2,1261.000000000000000
"222","316580",49/2,1183.000000000000000
"223","316580",50/1,366.000000000000000
"224","316580",49/3,459.000000000000000
"225","316580",50/3,451.000000000000000
"226","316580",32/15,1566.000000000000000
"227","316580",32/13,2653.000000000000000
"228","316580",157/2,302.000000000000000
"229","316580",1174/9,296.000000000000000
"230","316580","147",2681.000000000000000
"231","316580",142/2,7.000000000000000
"232","316580","60",1688.000000000000000
"233","316580","57",442.000000000000000
"234","316580",1175/1,639.000000000000000
"235","316580","62",19.000000000000000
"236","316580",1175/3,84.000000000000000
"237","316580",1175/2,69.000000000000000
"238","316580",73/2,281.000000000000000
"239","316580",65/3,417.000000000000000
"240","316580",1175/4,37.000000000000000
"241","316580",76/5,7.000000000000000
"242","316580","80",1753.000000000000000
"243","316580",79/12,1222.000000000000000
"244","316580",78/2,101.000000000000000
"245","316580",78/1,330.000000000000000
"246","316580",79/8,1747.000000000000000
"247","316580",79/2,1477.000000000000000
"248","316580","133",597.000000000000000
"249","316580","131",370.000000000000000
"250","316580",349/12,55.000000000000000
"251","316580",349/14,375.000000000000000
"252","316580","346",812.000000000000000
"253","316580",347/1,1656.000000000000000
"254","316580",347/2,158.000000000000000
"255","316580",349/15,382.000000000000000
"256","316580",349/7,375.000000000000000
"257","316580",349/28,110.000000000000000
"258","316580",349/6,867.000000000000000
"259","316580",349/29,220.000000000000000
"260","316580",349/5,31.000000000000000
"261","316580",349/3,39.000000000000000
"262","316580",161/5,149.000000000000000
"263","316580",161/6,38.000000000000000
"264","316580",139/6,222.000000000000000
"265","316580",144/6,294.000000000000000
"266","316580",349/20,517.000000000000000
"267","316580",349/23,123.000000000000000
"268","316580",352/3,387.000000000000000
"269","316580",352/2,266.000000000000000
"270","316580",352/1,364.000000000000000
"271","316580",359/4,353.000000000000000
"272","316580",136/7,692.000000000000000
"273","316580",140/9,37.000000000000000
"274","316580",351/1,92.000000000000000
"275","316580",138/4,186.000000000000000
"276","316580",138/7,3327.000000000000000
"277","316580",140/4,187.000000000000000
"278","316580",140/5,145.000000000000000
"279","316580",139/13,55.000000000000000
"280","316580",139/11,1831.000000000000000
"281","316580",351/7,2420.000000000000000
"282","316580",136/2,1574.000000000000000
"283","316580",134/7,72.000000000000000
"284","316580",1175/13,154.000000000000000
"285","316580",136/5,3225.000000000000000
"286","316580",359/2,1000.000000000000000
"287","316580",359/1,1927.000000000000000
"288","316580","159",3508.000000000000000
"289","316580",164/8,320.000000000000000
"290","316580",164/7,81.000000000000000
"291","316580",164/6,160.000000000000000
"292","316580",164/1,133.000000000000000
"293","316580",164/5,113.000000000000000
"294","316580",164/12,165.000000000000000
"295","316580",1174/30,171.000000000000000
"296","316580",164/13,139.000000000000000
"297","316580",164/10,14.000000000000000
"298","316580",163/4,154.000000000000000
"299","316580",327/6,2863.000000000000000
"300","316580","322",176.000000000000000
"301","316580","323",3627.000000000000000
"302","316580",164/11,24.000000000000000
"303","316580",164/15,95.000000000000000
"304","316580",329/2,183.000000000000000
"305","316580",141/2,261.000000000000000
"306","316580",161/3,84.000000000000000
"307","316580",161/2,33.000000000000000
"308","316580",163/2,18.000000000000000
"309","316580",140/3,605.000000000000000
"310","316580",140/10,285.000000000000000
"311","316580",330/2,166.000000000000000
"312","316580",1174/22,32.000000000000000
"313","316580",1174/12,32.000000000000000
"314","316580",1174/10,9.000000000000000
"315","316580",1174/21,40.000000000000000
"316","316580",1174/13,31.000000000000000
"317","316580",1174/15,32.000000000000000
"318","316580",1174/16,34.000000000000000
"319","316580",140/7,85.000000000000000
"320","316580",140/8,65.000000000000000
"321","316580","336",382.000000000000000
"322","316580",349/9,23.000000000000000
"323","316580",351/5,99.000000000000000
"324","316580",140/6,111.000000000000000
"325","316580",138/2,108.000000000000000
"326","316580",138/1,3.000000000000000
"327","316580",139/12,3.000000000000000
"328","316580",163/3,61.000000000000000
"329","316580",161/1,1079.000000000000000
"330","316580",1174/11,31.000000000000000
"331","316580",164/2,746.000000000000000
"332","316580",163/1,866.000000000000000
"333","316580",164/18,77.000000000000000
"334","316580",164/14,165.000000000000000
"335","316580",164/16,23.000000000000000
"336","316580",164/17,119.000000000000000
"337","316580",1174/20,48.000000000000000
"338","316580",329/3,8.000000000000000
"339","316580",329/4,110.000000000000000
"340","316580",163/6,127.000000000000000
"341","316580",163/7,72.000000000000000
"342","316580",161/4,137.000000000000000
"343","316580",1174/14,31.000000000000000
"344","316580","413",4696.000000000000000
"345","316580","421",7386.000000000000000
"346","316580",409/1,14958.000000000000000
"347","316580","412",36884.000000000000000
"348","316580",404/2,2943.000000000000000
"349","316580",401/2,2749.000000000000000
"350","316580",404/1,527.000000000000000
"351","316580",401/3,2318.000000000000000
"352","316580",402/1,95.000000000000000
